title,topicDistribution,dominant_topic
政治與政策,"[0.3782562385833143,0.620701947737084,0.00034448009874566007,0.00035826694061703043,0.0003390666402390372]",1
國際,"[0.0005158814504860336,0.7800338929667,0.0005422987337406253,0.0005652325284375986,0.21834269432063566]",1
政治與政策,"[0.27617029053014375,0.7222689358075617,0.0005172956120242807,0.000536293052113429,0.0005071849981568501]",1
國際,"[0.00041898267677981896,0.6609949423262025,0.00044103384274759487,0.0004599857226563382,0.33768505543161365]",1
國際,"[0.0019031338235374609,0.9920293510318435,0.0020031241293386273,0.002082030013256458,0.0019823610020238474]",1
政治與政策,"[0.5872827070590728,0.001475437796057926,0.40868688536824166,0.001311271125097044,0.001243698651530509]",0
政治與政策,"[0.0008957730461185803,0.7696271711693681,0.22756063281792854,0.000987496006615201,0.0009289269599695584]",1
國際,"[0.0033050434932882424,0.9861547853946936,0.0034777424597885248,0.0036202626505266056,0.0034421660017032404]",1
政治與政策,"[0.6143372509434736,0.0007245457643030976,0.38368705195539954,0.0006430610082839869,0.0006080903285398461]",0
國際,"[0.001234348182157379,0.9948282135228135,0.0013012449644948152,0.0013525035632556825,0.0012836897672786544]",1
國際,"[0.001100343523006538,0.9953880674206764,0.0011572435809596394,0.0012063273992242317,0.0011480180761330257]",1
科技資安,"[0.0005176619061034609,0.9978315665015327,0.0005476800165189679,0.0005665503747351159,0.0005365412011094526]",1
政治與政策,"[0.00046548735909560866,0.9980553113309679,0.0004906418359908408,0.0005076911469422411,0.00048086832700321483]",1
政治與政策,"[0.7729161145397875,0.055421885764108406,0.16923911592057936,0.0012445409058780108,0.0011783428696466054]",0
政治與政策,"[0.07631386257664749,0.7165544468485513,0.0006863885375229848,0.0007190023337389296,0.20572629970353923]",1
生活,"[0.0006687526735011767,0.29105302610576783,0.418577245648826,0.13816409467516133,0.15153688089674372]",2
政治與政策,"[0.21834850228799232,0.4724230626593879,0.3007406392310556,0.004369077273797553,0.004118718547766656]",1
政治與政策,"[0.8499568023041604,0.0006143794120202623,0.14836635225215952,0.0005458132628423571,0.0005166527688175099]",0
政治與政策,"[0.8638404015266254,0.13492737509684585,0.0004073633222233916,0.0004237771463190554,0.000401082907986216]",0
政治與政策,"[0.0009089617255988345,0.521445452672132,0.475710190486966,0.0009952606440535709,0.0009401344712496847]",1
政治與政策,"[0.9976860423759017,0.000645647934697421,0.0005517844364481529,0.0005730756704135644,0.0005434495825391918]",0
健康,"[0.00046761564317537364,0.0005767185872466953,0.0004918531798222436,0.8418999133614253,0.15656389922833028]",3
政治與政策,"[0.0007963909363681435,0.000981030990241718,0.9965289805688926,0.0008708437962217581,0.0008227537082758773]",2
政治與政策,"[0.30669228966220263,0.6900779326387453,0.0010684586828987785,0.0011107397978645389,0.001050579218288763]",1
政治與政策,"[0.0011602611267482689,0.8112171511545648,0.18515777852425616,0.0012664085651412382,0.0011984006292896008]",1
政治與政策,"[0.0007222096822667082,0.6603093094036959,0.3374341079811907,0.0007874007747535289,0.0007469721580931096]",1
政治與政策,"[0.08123032008914839,0.43465448756791286,0.4828826880570465,0.0006331437817714969,0.0005993605041208489]",2
國際,"[0.0006255595024558775,0.7472807983578107,0.25075116111522544,0.0006888938705128433,0.0006535871539951093]",1
生活,"[0.000500860702179462,0.0006141714577667071,0.99781541289511,0.0005497000451370905,0.0005198548998068581]",2
環境能源,"[0.2605066710718037,0.3028640884868384,0.0007635966464080044,0.08364717661612871,0.3522184671788212]",4
國際,"[0.05976025505684414,0.7066376700144906,0.0013890264107010517,0.001447505304483814,0.23076554321348047]",1
政治與政策,"[0.00024217315496489466,0.00029704289637737567,0.9989424335842768,0.00026663262977330283,0.0002517177346077366]",2
科技資安,"[0.0004535810274601336,0.9980988284044686,0.0004774544905486674,0.0004987645931070186,0.0004713714844155444]",1
國際,"[0.0006790497352504498,0.9971532210806333,0.0007173288144727965,0.0007438005828605982,0.0007065997867828046]",1
國際,"[0.0010023371820396768,0.9958094370952324,0.0010551416014286592,0.0010933940313784232,0.0010396900899207813]",1
政治與政策,"[0.00027160731148033923,0.00033065992989523803,0.9988201626738323,0.0002968927801457134,0.00028067730464642057]",2
政治與政策,"[0.378639938230685,0.6174035600113648,0.001305396070299301,0.001362203881802365,0.0012889018058484635]",1
政治與政策,"[0.9988370582268662,0.00032381485305035677,0.0002774908950063142,0.0002884131018109778,0.0002732229232660504]",0
國際,"[0.0015871710775746913,0.6085602818031918,0.38646614228069126,0.0017395891689324884,0.0016468156696098073]",1
健康,"[0.0005822413724313591,0.0007190573023537549,0.0006128359029866919,0.9974804132703667,0.0006054521518613852]",3
生活,"[0.00047242311252891113,0.568130619169734,0.430391034796132,0.00051733041544384,0.0004885925061613085]",1
健康,"[0.0005514301537359375,0.3093263547289548,0.0005795933337190982,0.688971460277723,0.0005711615058669681]",3
政治與政策,"[0.0018509154712292092,0.0022797300471168345,0.9919236347442661,0.0020336813514143623,0.0019120383859732078]",2
生活,"[0.0008555264434835588,0.0010513086480872108,0.9962658409776992,0.0009393944287894983,0.0008879295019406452]",2
生活,"[0.2556223441815067,0.7424229101243663,0.0006451092986061002,0.0006748314431314695,0.0006348049523892678]",1
國際,"[0.0010583271512531283,0.9483826524825544,0.04830103235922437,0.0011591544533227991,0.0010988335536451668]",1
國際,"[0.018638410872112782,0.07178273643342298,0.00026519839209671747,0.53692507176836,0.3723885825340076]",3
健康,"[0.000252804875402757,0.00030977437138908964,0.00026550818042486246,0.9687345132016816,0.030437399371101584]",3
政治與政策,"[0.9988526752519916,0.0003183725100496858,0.0002736401404209414,0.0002851011845847473,0.0002702109129529688]",0
政治與政策,"[0.6998744763608717,0.298448007587321,0.0005537736441909069,0.0005774593754269407,0.0005462830321893072]",0
國際,"[0.156859957085897,0.37921510032488864,0.0002458707629654299,0.4634364171041662,0.00024265472208280224]",3
健康,"[0.10968221709904954,0.032766155765161,0.0002576138965516841,0.8570396334411068,0.00025437979813102855]",3
健康,"[0.0003726820034686291,0.15444211051156656,0.00039227512689411954,0.7117848665349852,0.13300806582308553]",3
國際,"[0.0010890690069060604,0.5103244250154227,0.07263431912404056,0.0011922915684835173,0.4147598952851474]",1
政治與政策,"[0.0003346681560851228,0.3335824425852471,0.6653712839478062,0.00036577079457638235,0.0003458345162851919]",2
政治與政策,"[0.05346707284183704,0.0003601693695173471,0.9455487520600787,0.0003207367301401207,0.00030326899842675423]",2
健康,"[0.00024232760810743368,0.00029793788640980246,0.0002548055231057999,0.9989537533413989,0.0002511756409779842]",3
生活,"[0.16626762277729157,0.0006413295315577604,0.8319829907298266,0.0005697177006382287,0.0005383392606856407]",2
國際,"[0.000326669154242629,0.8188351043458236,0.00034551797433400225,0.00035831622217613065,0.1801343923034236]",1
政治與政策,"[0.9759774568330846,0.0003817336299067959,0.022978580842688747,0.00034012561309494134,0.000322103081225041]",0
政治與政策,"[0.16520189232835011,0.5013730114312129,0.3316765762627574,0.0008978930191045602,0.0008506269585749537]",1
健康,"[0.2425124219927214,0.0007920250166075345,0.24053582402653903,0.37695763970975094,0.13920208925438102]",3
科技資安,"[0.1212380816273775,0.8773084037342875,0.00048052159648577595,0.0004999037599765554,0.00047308928187268036]",1
生活,"[0.000257225310105813,0.00031337971642424563,0.9988810827096647,0.0002816915181995501,0.00026662074560561617]",2
生活,"[0.000786059416916237,0.996721306643161,0.000823863784664345,0.0008570767930261082,0.000811693362232129]",1
生活,"[0.0004941487968062408,0.4587137709532591,0.539741673252171,0.0005396185864400578,0.0005107884113235848]",2
國際,"[0.0007320041813191323,0.9969301799485598,0.000775353861508205,0.0008009755846109264,0.0007614864240018749]",1
國際,"[0.035451930169613455,0.8432318280381443,0.0006706817853322366,0.11998633237212382,0.0006592276347861212]",1
生活,"[0.00034232896300036617,0.7596647498683475,0.23926318772258806,0.00037506775863176665,0.00035466568743214587]",1
政治與政策,"[0.7550609076093947,0.001397832661851091,0.24112824328687224,0.0012402401799385852,0.0011727762619434413]",0
國際,"[0.00043698542365646606,0.998170205053613,0.00045923391737325817,0.00047848082870051054,0.00045509477665690943]",1
政治與政策,"[0.0010752761690344585,0.9444249648577684,0.05220560102605733,0.0011770411604514245,0.0011171167866883419]",1
國際,"[0.0011091330206479903,0.9685206738434593,0.0011699301690829612,0.028044159535836898,0.0011561034309728266]",1
國際,"[0.0010741740214167603,0.9955129006826677,0.0011274064248153538,0.0011723868877566118,0.001113131983343379]",1
政治與政策,"[0.06542932922953353,0.15149762003628467,0.782490804192184,0.00029920559210922155,0.0002830409498884761]",2
國際,"[0.0020574582410349046,0.7322183190405939,0.26132545481560043,0.0022594978607635486,0.002139270042007181]",1
生活,"[0.06545032033719682,0.0008909370653864245,0.5743718837041306,0.0007931802348489469,0.35849367865843706]",2
國際,"[0.0007101511814119377,0.9970357565360574,0.0007454366570131283,0.0007744985812424009,0.000734157044275227]",1
政治與政策,"[0.3104823653263369,0.6881475021006748,0.000453198012915662,0.000471397250019775,0.0004455373100530109]",1
健康,"[0.21748242380752597,0.3351214717399049,0.06368308256293866,0.3832515120490148,0.0004615098406156596]",3
國際,"[0.0010338412922497712,0.9387080856775362,0.05805519613722728,0.0011295796034576672,0.0010732972895289258]",1
健康,"[0.0005687438879525516,0.2802803902781428,0.000598603974147326,0.0006226215447740716,0.7179296403149833]",4
政治與政策,"[0.0005355604648279542,0.9977573460104671,0.0005638678467047813,0.0005868222404180234,0.0005564034375823113]",1
國際,"[0.0004304493186937077,0.9981980843930789,0.0004532108455134829,0.00047185618574541595,0.0004463992569685839]",1
國際,"[0.000702756696794313,0.9970548576912494,0.0007400163352671952,0.0007717893096519938,0.000730579967037113]",1
政治與政策,"[0.0007822100360745334,0.9967093246683619,0.0008348958766735283,0.0008602956116349817,0.000813273807255012]",1
國際,"[0.0005455172292169511,0.953011963687422,0.0005746991374557499,0.0005982715524110723,0.04526954839349421]",1
政治與政策,"[0.0002938026616896051,0.0003616110232275249,0.9987155575323595,0.00032320368933157667,0.00030582509339172694]",2
健康,"[0.0006081898492283284,0.0007450339159131346,0.20593754402904238,0.7074539118645502,0.085255320341266]",3
國際,"[0.0004824618917078044,0.7964636630609523,0.20202723636871492,0.000527207389236195,0.0004994312893889977]",1
國際,"[0.000914997830810034,0.9961615526146681,0.0009624430894351327,0.001006773824500092,0.000954232640586716]",1
政治與政策,"[0.0006558737575867293,0.2037777428535584,0.44372456293376344,0.21708274253808413,0.13475907791700725]",2
政治與政策,"[0.0011025587395197046,0.9532540101120648,0.0011642062620929416,0.0012095866926486731,0.0432696381936742]",1
政治與政策,"[0.0004786385789539,0.2092029720291052,0.7892975474182115,0.0005248165006950848,0.0004960254730345272]",2
生活,"[0.0007460838159155695,0.9968819084010042,0.000782180802729793,0.0008169213975093031,0.0007729055828411624]",1
生活,"[0.06025983249491695,0.5666736821089076,0.37130943150356077,0.0009020386566833604,0.0008550152359313323]",1
國際,"[0.0006761956077924254,0.9971682860137829,0.000712073150813091,0.0007410272291799108,0.0007024179984316439]",1
生活,"[0.05899102099736968,0.2368726544046051,0.2544606803470583,0.0005075039593161859,0.44916814029165075]",4
健康,"[0.0001946688560355888,0.00023837935150674468,0.00020430298355219806,0.9991608318449311,0.00020181696397429514]",3
國際,"[0.0007674544213936364,0.9967819383619557,0.000806192338124876,0.0008440803331701202,0.0008003345453556779]",1
國際,"[0.0007128245665472876,0.9970253736607914,0.0007475670497459204,0.0007775680794841831,0.0007366666434312116]",1
政治與政策,"[0.0009161828828888095,0.9962079849848592,0.0009453371704427416,0.000990598900039882,0.00093989606176951]",1
生活,"[0.0006281226622766124,0.35943630786336056,0.6385942120080638,0.0006881252489385413,0.0006532322173604428]",2
環境能源,"[0.24461753123801688,0.13983607174232585,0.0003633330990392114,0.3054500559719441,0.30973300794867403]",4
生活,"[0.0003785090204146629,0.00046421557205484417,0.00039851656974444766,0.10032564056048485,0.8984331182773012]",4
生活,"[0.0017807233993630113,0.1624165300170995,0.8319853389985528,0.0019567554996055966,0.0018606520853790887]",2
政治與政策,"[0.13627640844199485,0.8620549304836702,0.0005520542772372969,0.0005731209849689674,0.0005434858121287102]",1
國際,"[0.0008315826049342124,0.9965128713434385,0.0008749181494049111,0.0009152945104187512,0.0008653333918035372]",1
國際,"[0.0007513552262107193,0.9968519945041842,0.000792303543659003,0.0008233432901634844,0.0007810034357825705]",1
政治與政策,"[0.0005246434834396942,0.0006474698396622143,0.9977068236163874,0.0005757133363298922,0.0005453497241808055]",2
健康,"[0.13858363185990213,0.13987684478244047,0.07576914179814999,0.6454426550247111,0.0003277265347962238]",3
健康,"[0.00051924292368327,0.0006380703143689343,0.0005457169905035825,0.9977569911731665,0.0005399785982775365]",3
政治與政策,"[0.00033478240362839405,0.9985992775198963,0.0003524216283791815,0.00036646604541384627,0.0003470524026823429]",1
環境能源,"[0.00028585572301158117,0.12188465984019005,0.4837022625893743,0.0003144302802540223,0.3938127915671701]",2
國際,"[0.0003468266616637144,0.9985439666547803,0.0003662577520891106,0.0003823306315892153,0.000360618299877661]",1
政治與政策,"[0.20016546752165612,0.7967247937426589,0.0010295611070877827,0.0010693245877762677,0.0010108530408209574]",1
國際,"[0.001251560226123829,0.9947504884887554,0.0013215282741779754,0.0013708936749977573,0.0013055293359451306]",1
環境能源,"[0.12320885224460333,0.03825967658132706,0.07841279928355335,0.00022164218519640138,0.7598970297053199]",4
國際,"[0.0005017184917352601,0.9709335274607477,0.0005283024007758651,0.0005501950628903466,0.027486256583850694]",1
健康,"[0.0004214088486902628,0.0005166149978134194,0.0004407779392714312,0.8737583297894423,0.1248628684247826]",3
國際,"[0.0010234833396937718,0.9957101268052001,0.0010787634819526867,0.0011239297525644412,0.001063696620588984]",1
國際,"[0.0007123602796574341,0.9970103344567303,0.0007517853516682252,0.0007846484679972275,0.0007408714439467359]",1
國際,"[0.0004362836936745708,0.8076621519748097,0.00045930529701727543,0.1345625716725712,0.05687968736192726]",1
國際,"[0.0005209886132601888,0.828264921021986,0.1701024684455227,0.0005705690926025837,0.0005410528266283943]",1
國際,"[0.0005836884431021823,0.9975571343395712,0.0006157546021110636,0.0006386375719275142,0.0006047850432883392]",1
生活,"[0.001420963621108251,0.9940479554264712,0.0014941478244249974,0.0015571037586683636,0.0014798293693272897]",1
國際,"[0.002158537297635876,0.9909615062376224,0.0022785999493342753,0.0023605250795614412,0.002240831435846021]",1
國際,"[0.0010708240963786596,0.9955114376724309,0.0011299712363847857,0.0011739089329067245,0.0011138580618987955]",1
環境能源,"[0.09573852786203096,0.017608365830864628,0.0002892678074310687,0.0003012531447285572,0.8860625853549448]",4
國際,"[0.000631605379749465,0.9973591523221379,0.0006624661793971617,0.0006920538134065874,0.0006547223053087794]",1
國際,"[0.0005231686170322828,0.9978093028934081,0.0005502604262181566,0.0005742426998260764,0.0005430253635154752]",1
國際,"[0.0009521428604903799,0.9960113072020064,0.0010035649162203383,0.0010417935985674762,0.0009911914227154466]",1
國際,"[0.0004948345753126842,0.9979230751719824,0.0005199774004713645,0.000543476016607497,0.0005186368356259464]",1
國際,"[0.0006578148350850742,0.9972356782307911,0.0006945737416794224,0.000726455849250507,0.0006854773431939162]",1
國際,"[0.0006248166919910223,0.9973801851130055,0.0006594621168813871,0.0006863074563005169,0.0006492286218216717]",1
生活,"[0.2781012108924965,0.00030776675125595144,0.07493777088087819,0.0002761342015343546,0.6463771172738351]",4
政治與政策,"[0.0007137362434463464,0.05077173903075582,0.7466857661545174,0.0007821781490533732,0.20104658042222703]",2
國際,"[0.001094486969884645,0.9953992735413352,0.0011518611175832185,0.001199439881533294,0.0011549384896638686]",1
國際,"[0.22941927652706803,0.7678542874595609,0.0008996907330839912,0.0009391792619075763,0.0008875660183794385]",1
國際,"[0.0005217057151556917,0.6247403094400038,0.33151091289600826,0.04268529023278729,0.0005417817160451236]",1
國際,"[0.0008561211299365452,0.9964171595738007,0.0009010410949016317,0.0009364699169620995,0.00088920828439898]",1
國際,"[0.0014865162875893428,0.9225563631003859,0.0015634832162605657,0.0728498225567353,0.0015438148390288665]",1
生活,"[0.0004957959255942775,0.4921152566070488,0.5063292744391922,0.0005434367495143787,0.0005162362786504549]",2
國際,"[0.0004892002761853738,0.9979505639530656,0.0005170371697852665,0.0005354447675439454,0.0005077538334198232]",1
生活,"[0.09601315199490461,0.40546332358690707,0.000345584672276989,0.49783647355894106,0.00034146618697037756]",3
政治與政策,"[0.0015017757014143445,0.6988235861096956,0.29648073399459984,0.0016405073438031732,0.00155339685048699]",1
國際,"[0.00071785419957386,0.9763191339888122,0.021430956728799005,0.0007853154015745833,0.0007467396812403988]",1
國際,"[0.0009411208511956587,0.996048762950865,0.000997843385801098,0.0010337590324293823,0.0009785137797089798]",1
生活,"[0.029446824776255338,0.5462575008691902,0.24049249497416994,0.0002929285154324709,0.18351025086495207]",1
國際,"[0.0009004613332216581,0.3116803204207358,0.0009470198882828016,0.0009867696583134697,0.6854854286994463]",4
國際,"[0.0005723834554880612,0.9976056049618457,0.0006017087889937187,0.0006268070740705575,0.0005934957196019914]",1
國際,"[0.00044328314202889173,0.9802183063566666,0.00046659770131828114,0.018410458200607452,0.00046135459937877353]",1
生活,"[0.2950891060452825,0.0002531794736668416,0.00021649676079579338,0.15054514666203545,0.5538960710582195]",4
生活,"[0.0004617409025371286,0.0005693693482035977,0.0004859014976181366,0.4595050681000285,0.5389779201516126]",4
生活,"[0.0738554948104783,0.00047494176349908296,0.0004086241878010379,0.47145019393442394,0.4538107453037976]",3
生活,"[0.0008290933469215362,0.8005636238286978,0.0008727595367541722,0.0009055639634308964,0.19682895932419547]",1
生活,"[0.001603138422394682,0.6167689422355181,0.37820470789914407,0.001758275596653174,0.001664935846289937]",1
國際,"[0.00036365380021628047,0.954538280530719,0.0443195516777674,0.00040097086309378037,0.0003775431282036171]",1
國際,"[0.0005430042938709736,0.9977215885707026,0.0005727713831458702,0.0005970404837948029,0.0005655952684855492]",1
生活,"[0.0330264113309776,0.3643387759624829,0.0006795328944403349,0.0007081508120895624,0.6012471290000098]",4
健康,"[0.00039920405457300937,0.1601914356084493,0.0004224260086535362,0.8385730455927529,0.00041388873557119033]",3
政治與政策,"[0.0007416736311503272,0.9968998021155046,0.0007814311819312385,0.0008107758830941978,0.0007663171883196377]",1
生活,"[0.0005984328044366435,0.2786906606230775,0.7194341272972377,0.0006560266297922306,0.000620752645455952]",2
健康,"[0.18966515241875115,0.00047883165315317937,0.1396804552315402,0.6697699637276827,0.0004055969688728089]",3
國際,"[0.0007192984759121947,0.9969893009260195,0.0007564232517186827,0.0007893096246416384,0.0007456677217081214]",1
政治與政策,"[0.0007408868012806985,0.9968952589902553,0.0007819780211751654,0.0008131514834997957,0.0007687247037890339]",1
健康,"[0.15782503838712653,0.04017731752599557,0.12703116448801804,0.674747739866204,0.00021873973265575802]",3
國際,"[0.07490708315773938,0.9235995039991768,0.0004930134031820341,0.0005136151027820077,0.0004867843371198308]",1
健康,"[0.031722950259336066,0.000514241924382757,0.39370639000519964,0.10774984857067355,0.4663065692404079]",4
生活,"[0.00028138877749521305,0.00034516723155062336,0.00029564254918152744,0.0003097665494221982,0.9987680348923506]",4
生活,"[0.0449477656515712,0.0003431464557304892,0.2309683340188426,0.00030487384469114433,0.7234358800291646]",4
生活,"[0.00029784288540904636,0.1659309808129745,0.0003133110333114488,0.1436291018329903,0.6898287634353147]",4
健康,"[0.19909462928580504,0.00040591695025923266,0.49016518490492367,0.1181897174354408,0.19214455142357123]",2
健康,"[0.0005323280894438274,0.0006492438684863514,0.0005617857812533825,0.47168173745048114,0.5265749048103353]",4
政治與政策,"[0.02538306436777241,0.00037438385639587647,0.9735948941763107,0.0003321385706157891,0.0003155190289052176]",2
生活,"[0.002107448344232072,0.0026127441891756116,0.9907572067157244,0.002321335900083893,0.0022012648507839607]",2
健康,"[0.00029385645692217956,0.15862873784593834,0.09730378161880161,0.00032216804907731167,0.7434514560292605]",4
政治與政策,"[0.0012770358818257753,0.9946560904483145,0.001345131409920652,0.0013989742792946639,0.0013227679806445426]",1
國際,"[0.0008086186849958817,0.9966092177847151,0.0008510884218077236,0.0008917322511148243,0.0008393428573662787]",1
生活,"[0.08244285099223678,0.00018178945815790456,0.33092229628551023,0.00016172622878419155,0.5862913370353108]",4
生活,"[0.0005707624708560574,0.8813512612663985,0.0006005252266873059,0.000626253406037476,0.11685119763002076]",1
國際,"[0.0005069198687868042,0.99787474211651,0.0005350087683771084,0.000556363253957611,0.0005269659923685614]",1
生活,"[0.23612643384029694,0.03605568239355126,0.2958311650929127,0.0004176880952792517,0.4315690305779598]",4
健康,"[0.006044783829784236,0.22793105779642758,0.5463322741300622,0.006688976803191918,0.21300290744053418]",2
生活,"[0.0002895387279202975,0.0003560452211915146,0.998735649127036,0.0003180884474484523,0.0003006784764037034]",2
國際,"[0.0005549515712421379,0.997673594340959,0.000586371813119964,0.000607493163251576,0.000577589111427197]",1
國際,"[0.0006658402856796719,0.9972106949164699,0.0007010997165426467,0.0007295886951062012,0.0006927763862016436]",1
國際,"[0.00035946432826604405,0.9529475814724983,0.045925621617657786,0.00039425365923674474,0.00037307892234118617]",1
生活,"[0.00036988000464190714,0.9521288299866468,0.04671186810247668,0.0004059054703133745,0.0003835164359213207]",1
生活,"[0.00045621485742658994,0.0005632767285108277,0.9436383018976534,0.0005011700944786122,0.054841036421930486]",2
健康,"[0.025970901869899084,0.0008752326797206139,0.7566750078935444,0.21573739064561487,0.000741466911221112]",2
政治與政策,"[0.030285472376295496,0.9684814858221424,0.00040713175576853193,0.0004234588246701204,0.00040245122112350944]",1
健康,"[0.21108468795713298,0.006858987365343101,0.7700628018113618,0.006150217522049408,0.005843305344112654]",2
政治與政策,"[0.11453055911095247,0.03521057172043315,0.8496258726720979,0.0003253710276389,0.0003076254688775284]",2
國際,"[0.0006107758275956445,0.05178637023658366,0.9462959504865774,0.0006712601303928129,0.0006356433188502628]",2
環境能源,"[0.0961884941822068,0.6837200973888178,0.0008999902645275864,0.0009326230360266724,0.21825879512842117]",1
國際,"[0.000880947325137151,0.9963085429834616,0.0009297006828566926,0.000966706367756908,0.0009141026407875466]",1
生活,"[0.0003274857493090037,0.0004047669581070811,0.0003443893175876976,0.22457454559458162,0.7743488123804146]",4
國際,"[0.0016700373749707676,0.9930141601411763,0.0017551233905635619,0.0018297553592763612,0.0017309237340130867]",1
國際,"[0.26550896171914806,0.19326350328447517,0.0003024882398404027,0.37758222622311005,0.16334282053342625]",3
國際,"[0.0009731320013343346,0.9959233881932377,0.0010261783233720889,0.0010672398714650917,0.001010061610590828]",1
政治與政策,"[0.0002866705990087922,0.5404453766223862,0.45865707385631954,0.0003137298555519054,0.00029714906673342865]",1
生活,"[0.0007279618490484329,0.6687228451402424,0.3289930557291173,0.0007994529505307684,0.0007566843310611606]",1
國際,"[0.0006270280184142714,0.9527854123157368,0.0006587726608215264,0.04528124123630041,0.0006475457687270054]",1
國際,"[0.0009662883106926333,0.9959620589615047,0.0010140330702140554,0.0010561406005885252,0.0010014790569999753]",1
國際,"[0.0006066510310353487,0.4195986699462008,0.0006383015819421616,0.05175517773660888,0.5274011997042127]",4
國際,"[0.00046949222335961277,0.06573919221766336,0.0004944196397777917,0.7539521681219077,0.17934472779729163]",3
生活,"[0.0002926850661277422,0.00035836562459172727,0.9987238193694816,0.0003207868311395575,0.00030434310865923054]",2
國際,"[0.0005656975267952809,0.5168430365675785,0.16109983907453915,0.13084582879709508,0.190645598033992]",1
國際,"[0.0006309726056296106,0.9973540724919303,0.000662362334201242,0.0006944807380515939,0.0006581118301872339]",1
生活,"[0.00036471635404005157,0.00044641544527221534,0.00038323710357017504,0.0004007128402731254,0.9984049182568444]",4
生活,"[0.0006221643390130395,0.99739084815027,0.0006540953124302953,0.0006852860158034629,0.0006476061824829189]",1
國際,"[0.00046074833337127603,0.8790156547702349,0.08024375998433281,0.000506234379011698,0.03977360253304938]",1
國際,"[0.00045222258465130714,0.9981031790010303,0.0004776421549407416,0.0004965223836490668,0.00047043387572858635]",1
國際,"[0.00034918312927618495,0.9985362552574435,0.00036844419081241497,0.0003837289489427049,0.0003623884735251846]",1
環境能源,"[0.08046695823289529,0.00022797156815926398,0.00019456019805947776,0.6067715884878971,0.31233892151298875]",3
國際,"[0.0005603890510007175,0.4247925644778864,0.5734488983213695,0.0006159572443324678,0.0005821909054111821]",2
國際,"[0.00060600150120912,0.8931202151834546,0.0006378057487892545,0.10500607274339922,0.000629904823147896]",1
國際,"[0.0002939266398126437,0.0003611938219517045,0.000308925171048631,0.8771353745980287,0.12190057976915837]",3
國際,"[0.0007901188418740271,0.7156132499754291,0.0008349832143464826,0.0008656097893077068,0.2818960381790427]",1
國際,"[0.0006270396381650985,0.8735791826123454,0.00065989121758971,0.0006872877375861848,0.12444659879431362]",1
政治與政策,"[0.000810080566479558,0.8462456203449811,0.1512151442168344,0.0008878607205259931,0.000841294151178981]",1
健康,"[0.000391820050077381,0.0004789345261948709,0.00041180351523855806,0.0004314007245752722,0.9982860411839138]",4
國際,"[0.0005940372830146277,0.9975091216098372,0.0006237943158177361,0.0006539428023612375,0.0006191039889691454]",1
國際,"[0.0003376950919490315,0.998585672566628,0.00035463811800086136,0.0003716733908807477,0.00035032083254137367]",1
國際,"[0.0006611175158971732,0.9740579812939246,0.000695073616739791,0.023900905223283912,0.0006849223501544726]",1
科學研究,"[0.0005375106669896572,0.0006644807564209948,0.0005648164581955248,0.0005901171204022975,0.9976430749979917]",4
國際,"[0.0004709448581104274,0.8205316561741768,0.0004984517133333324,0.17800786692282922,0.0004910803315503811]",1
國際,"[0.0005116053344312499,0.9978531932413999,0.000537043023871342,0.0005668805294875329,0.0005312778708099286]",1
科技資安,"[0.022837532186735177,0.6793753332619921,0.0005032715793191699,0.0005255810380853115,0.29675828193386833]",1
政治與政策,"[0.0006405109394580877,0.9091723195403371,0.000673054410008703,0.08884866924292038,0.0006654458672757183]",1
環境能源,"[0.0004699721882820056,0.000577979515849918,0.0004917720731752528,0.6777957622889771,0.32066451393371576]",3
國際,"[0.0005575706131142623,0.6521788600017322,0.3460781614010464,0.000608764298808292,0.0005766436852989625]",1
國際,"[0.002161381328156713,0.9440635323139999,0.04914240724251998,0.0023721954075801273,0.0022604837077433767]",1
環境能源,"[0.0903624713009036,0.7140981730323023,0.0009459809193126985,0.19365398621636193,0.0009393885311193685]",1
健康,"[0.00045825302218388363,0.0005600745587433597,0.00048162695345838107,0.47000165109224584,0.5284983943733685]",4
國際,"[0.0007128190846863534,0.151158148727694,0.8466009462298093,0.0007852309790317141,0.0007428549787785843]",2
國際,"[0.038090364687450785,0.9606071675614583,0.0004314224589339192,0.0004473356346836273,0.0004237096574735153]",1
生活,"[0.0005226266623802723,0.049634603877465204,0.9487327217374407,0.0005703767458574271,0.0005396709768563195]",2
環境能源,"[0.15001441930152146,0.0003608564340650324,0.03288991894057991,0.2023563680666546,0.614378437257179]",4
國際,"[0.0006847909530160356,0.5933854730579728,0.000718824372053915,0.1510590182189675,0.25415189339798977]",1
國際,"[0.024961802269686743,0.9721637032994545,0.0009454501651466363,0.0009927052744786165,0.0009363389912334806]",1
政治與政策,"[0.00020086463079801612,0.0002475326850726375,0.971668480337262,0.0002205703117221729,0.02766255203514517]",2
國際,"[0.0009336547518256983,0.7346468975008725,0.26242620157883395,0.0010226936750072234,0.000970552493460639]",1
健康,"[0.0003488594864614746,0.0004309647994037667,0.22366011849334627,0.00038396268975037266,0.7751760945310382]",4
國際,"[0.0003932937095876394,0.13594300197255782,0.5481163236298042,0.00043251956146341983,0.3151148611265869]",2
生活,"[0.0003426155612166945,0.00042249449204219246,0.9985051716842677,0.0003747140265211799,0.0003550042359522741]",2
國際,"[0.00030499706587734096,0.8077182011790038,0.0003199960148572091,0.11784877459745158,0.07380803114281005]",1
